ep,ingrip_tilt_deg,ingrip_lat_mm,result
1,5.7,6.5,insertion_failed
2,,,dropped
3,8.2,9.0,insertion_failed
4,10.6,14.5,insertion_failed
5,1.2,1.6,success
6,,,insertion_failed
7,8.3,8.3,insertion_failed
8,,,insertion_failed
9,9.4,9.9,insertion_failed
10,1.6,3.7,success
11,,,timeout
12,10.4,10.6,insertion_failed
13,10.3,9.6,insertion_failed
14,10.9,12.5,insertion_failed
15,,,timeout
16,2.6,3.0,insertion_failed
17,3.2,15.8,insertion_failed
18,3.3,9.8,insertion_failed
19,,,insertion_failed
20,7.0,6.7,insertion_failed
