experiment,off_mm,noise_mm,cheat,k,n,realized_lat_mm
rwiden,8,0,1,11,20,8.7
rwiden,8,1,1,10,20,8.7
rwiden,8,2,1,9,20,8.7
rwiden,8,3,1,4,20,8.7
rwiden,8,4,1,3,20,8.7
rwiden,8,5,1,2,20,8.7
rwiden,8,6,1,1,20,8.7
rwiden,8,8,1,0,20,8.7
rblind,0,0,0,20,20,0.5
rblind,2,0,0,20,20,2.4
rblind,3,0,0,15,21,3.7
rblind,4,0,0,7,20,4.4
rblind,5,0,0,1,20,5.7
rblind,6,0,0,0,20,6.3
rblind,8,0,0,0,20,8.7
rblind,10,0,0,0,20,279.2
rblind,12,0,0,0,20,21.2
roracle,0,0,1,15,22,0.5
roracle,4,0,1,15,23,4.4
roracle,6,0,1,15,22,6.3
roracle,8,0,1,11,20,8.7
roracle,10,0,1,9,20,279.2
roracle,12,0,1,12,20,21.2
