clearance_mm,r_mm,az_deg,tilt_deg,dx_mm,dy_mm,success
2.0,0.0,0.0,0.0,0.0,0.0,1
2.0,0.0,0.0,2.0,0.0,0.0,1
2.0,0.0,0.0,4.0,0.0,0.0,1
2.0,0.0,0.0,6.0,0.0,0.0,1
2.0,0.0,0.0,8.0,0.0,0.0,0
2.0,0.0,0.0,10.0,0.0,0.0,0
2.0,0.0,0.0,12.0,0.0,0.0,0
2.0,0.0,30.0,2.0,0.0,0.0,1
2.0,0.0,30.0,4.0,0.0,0.0,1
2.0,0.0,30.0,6.0,0.0,0.0,0
2.0,0.0,30.0,8.0,0.0,0.0,0
2.0,0.0,30.0,10.0,0.0,0.0,1
2.0,0.0,30.0,12.0,0.0,0.0,0
2.0,0.0,60.0,2.0,0.0,0.0,1
2.0,0.0,60.0,4.0,0.0,0.0,1
2.0,0.0,60.0,6.0,0.0,0.0,1
2.0,0.0,60.0,8.0,0.0,0.0,0
2.0,0.0,60.0,10.0,0.0,0.0,0
2.0,0.0,60.0,12.0,0.0,0.0,1
2.0,0.0,90.0,2.0,0.0,0.0,1
2.0,0.0,90.0,4.0,0.0,0.0,1
2.0,0.0,90.0,6.0,0.0,0.0,1
2.0,0.0,90.0,8.0,0.0,0.0,1
2.0,0.0,90.0,10.0,0.0,0.0,1
2.0,0.0,90.0,12.0,0.0,0.0,1
2.0,0.0,120.0,2.0,-0.0,0.0,1
2.0,0.0,120.0,4.0,-0.0,0.0,1
2.0,0.0,120.0,6.0,-0.0,0.0,1
2.0,0.0,120.0,8.0,-0.0,0.0,0
2.0,0.0,120.0,10.0,-0.0,0.0,1
2.0,0.0,120.0,12.0,-0.0,0.0,0
2.0,0.0,150.0,2.0,-0.0,0.0,1
2.0,0.0,150.0,4.0,-0.0,0.0,0
2.0,0.0,150.0,6.0,-0.0,0.0,1
2.0,0.0,150.0,8.0,-0.0,0.0,0
2.0,0.0,150.0,10.0,-0.0,0.0,1
2.0,0.0,150.0,12.0,-0.0,0.0,0
2.0,0.0,180.0,2.0,-0.0,0.0,1
2.0,0.0,180.0,4.0,-0.0,0.0,0
2.0,0.0,180.0,6.0,-0.0,0.0,0
2.0,0.0,180.0,8.0,-0.0,0.0,1
2.0,0.0,180.0,10.0,-0.0,0.0,1
2.0,0.0,180.0,12.0,-0.0,0.0,1
2.0,0.0,210.0,2.0,-0.0,-0.0,0
2.0,0.0,210.0,4.0,-0.0,-0.0,1
2.0,0.0,210.0,6.0,-0.0,-0.0,1
2.0,0.0,210.0,8.0,-0.0,-0.0,0
2.0,0.0,210.0,10.0,-0.0,-0.0,1
2.0,0.0,210.0,12.0,-0.0,-0.0,1
2.0,0.0,240.0,2.0,-0.0,-0.0,1
2.0,0.0,240.0,4.0,-0.0,-0.0,1
2.0,0.0,240.0,6.0,-0.0,-0.0,1
2.0,0.0,240.0,8.0,-0.0,-0.0,1
2.0,0.0,240.0,10.0,-0.0,-0.0,1
2.0,0.0,240.0,12.0,-0.0,-0.0,0
2.0,0.0,270.0,2.0,-0.0,-0.0,1
2.0,0.0,270.0,4.0,-0.0,-0.0,0
2.0,0.0,270.0,6.0,-0.0,-0.0,1
2.0,0.0,270.0,8.0,-0.0,-0.0,1
2.0,0.0,270.0,10.0,-0.0,-0.0,1
2.0,0.0,270.0,12.0,-0.0,-0.0,1
2.0,0.0,300.0,2.0,0.0,-0.0,1
2.0,0.0,300.0,4.0,0.0,-0.0,0
2.0,0.0,300.0,6.0,0.0,-0.0,1
2.0,0.0,300.0,8.0,0.0,-0.0,1
2.0,0.0,300.0,10.0,0.0,-0.0,0
2.0,0.0,300.0,12.0,0.0,-0.0,0
2.0,0.0,330.0,2.0,0.0,-0.0,1
2.0,0.0,330.0,4.0,0.0,-0.0,1
2.0,0.0,330.0,6.0,0.0,-0.0,0
2.0,0.0,330.0,8.0,0.0,-0.0,0
2.0,0.0,330.0,10.0,0.0,-0.0,1
2.0,0.0,330.0,12.0,0.0,-0.0,0
2.0,1.0,0.0,0.0,1.0,0.0,1
2.0,1.0,0.0,2.0,1.0,0.0,1
2.0,1.0,0.0,4.0,1.0,0.0,1
2.0,1.0,0.0,6.0,1.0,0.0,1
2.0,1.0,0.0,8.0,1.0,0.0,0
2.0,1.0,0.0,10.0,1.0,0.0,0
2.0,1.0,0.0,12.0,1.0,0.0,0
2.0,1.0,30.0,0.0,0.866,0.5,1
2.0,1.0,30.0,2.0,0.866,0.5,1
2.0,1.0,30.0,4.0,0.866,0.5,1
