clearance_mm,r_mm,az_deg,tilt_deg,dx_mm,dy_mm,success
2.0,0.0,0.0,0.0,0.0,0.0,0
2.0,0.0,0.0,2.0,0.0,0.0,1
2.0,0.0,0.0,4.0,0.0,0.0,0
2.0,0.0,0.0,6.0,0.0,0.0,0
2.0,0.0,0.0,8.0,0.0,0.0,0
2.0,0.0,90.0,2.0,0.0,0.0,1
2.0,0.0,90.0,4.0,0.0,0.0,0
2.0,0.0,90.0,6.0,0.0,0.0,0
2.0,0.0,90.0,8.0,0.0,0.0,1
2.0,0.0,180.0,2.0,-0.0,0.0,0
2.0,0.0,180.0,4.0,-0.0,0.0,0
2.0,0.0,180.0,6.0,-0.0,0.0,0
2.0,0.0,180.0,8.0,-0.0,0.0,1
2.0,0.0,270.0,2.0,-0.0,-0.0,0
2.0,0.0,270.0,4.0,-0.0,-0.0,0
2.0,0.0,270.0,6.0,-0.0,-0.0,0
2.0,0.0,270.0,8.0,-0.0,-0.0,0
2.0,1.0,0.0,0.0,1.0,0.0,0
2.0,1.0,0.0,2.0,1.0,0.0,0
2.0,1.0,0.0,4.0,1.0,0.0,0
2.0,1.0,0.0,6.0,1.0,0.0,0
2.0,1.0,0.0,8.0,1.0,0.0,0
2.0,1.0,90.0,0.0,0.0,1.0,1
2.0,1.0,90.0,2.0,0.0,1.0,1
2.0,1.0,90.0,4.0,0.0,1.0,1
2.0,1.0,90.0,6.0,0.0,1.0,1
2.0,1.0,90.0,8.0,0.0,1.0,1
2.0,1.0,180.0,0.0,-1.0,0.0,0
2.0,1.0,180.0,2.0,-1.0,0.0,0
2.0,1.0,180.0,4.0,-1.0,0.0,0
2.0,1.0,180.0,6.0,-1.0,0.0,0
2.0,1.0,180.0,8.0,-1.0,0.0,0
2.0,1.0,270.0,0.0,-0.0,-1.0,0
2.0,1.0,270.0,2.0,-0.0,-1.0,0
2.0,1.0,270.0,4.0,-0.0,-1.0,0
2.0,1.0,270.0,6.0,-0.0,-1.0,0
2.0,1.0,270.0,8.0,-0.0,-1.0,0
2.0,2.0,0.0,0.0,2.0,0.0,0
2.0,2.0,0.0,2.0,2.0,0.0,0
2.0,2.0,0.0,4.0,2.0,0.0,0
2.0,2.0,0.0,6.0,2.0,0.0,0
2.0,2.0,0.0,8.0,2.0,0.0,0
2.0,2.0,90.0,0.0,0.0,2.0,0
2.0,2.0,90.0,2.0,0.0,2.0,0
2.0,2.0,90.0,4.0,0.0,2.0,0
2.0,2.0,90.0,6.0,0.0,2.0,0
2.0,2.0,90.0,8.0,0.0,2.0,0
2.0,2.0,180.0,0.0,-2.0,0.0,0
2.0,2.0,180.0,2.0,-2.0,0.0,0
2.0,2.0,180.0,4.0,-2.0,0.0,0
2.0,2.0,180.0,6.0,-2.0,0.0,0
2.0,2.0,180.0,8.0,-2.0,0.0,0
2.0,2.0,270.0,0.0,-0.0,-2.0,1
2.0,2.0,270.0,2.0,-0.0,-2.0,1
2.0,2.0,270.0,4.0,-0.0,-2.0,0
2.0,2.0,270.0,6.0,-0.0,-2.0,0
2.0,2.0,270.0,8.0,-0.0,-2.0,0
2.0,3.0,0.0,0.0,3.0,0.0,0
2.0,3.0,0.0,2.0,3.0,0.0,0
2.0,3.0,0.0,4.0,3.0,0.0,0
2.0,3.0,0.0,6.0,3.0,0.0,0
2.0,3.0,0.0,8.0,3.0,0.0,1
2.0,3.0,90.0,0.0,0.0,3.0,0
2.0,3.0,90.0,2.0,0.0,3.0,1
2.0,3.0,90.0,4.0,0.0,3.0,0
2.0,3.0,90.0,6.0,0.0,3.0,1
2.0,3.0,90.0,8.0,0.0,3.0,1
2.0,3.0,180.0,0.0,-3.0,0.0,1
2.0,3.0,180.0,2.0,-3.0,0.0,1
2.0,3.0,180.0,4.0,-3.0,0.0,0
2.0,3.0,180.0,6.0,-3.0,0.0,1
2.0,3.0,180.0,8.0,-3.0,0.0,0
2.0,3.0,270.0,0.0,-0.0,-3.0,0
2.0,3.0,270.0,2.0,-0.0,-3.0,0
2.0,3.0,270.0,4.0,-0.0,-3.0,1
2.0,3.0,270.0,6.0,-0.0,-3.0,0
2.0,3.0,270.0,8.0,-0.0,-3.0,1
2.0,4.0,0.0,0.0,4.0,0.0,1
2.0,4.0,0.0,2.0,4.0,0.0,1
2.0,4.0,0.0,4.0,4.0,0.0,0
2.0,4.0,0.0,6.0,4.0,0.0,1
2.0,4.0,0.0,8.0,4.0,0.0,0
2.0,4.0,90.0,0.0,0.0,4.0,0
2.0,4.0,90.0,2.0,0.0,4.0,1
2.0,4.0,90.0,4.0,0.0,4.0,1
